num_players,player_stack,player_cards,pre_flop,flop,decision_flop,turn,decision_turn,river,decision_river,net_result,winners
7,38.89,5s 9s,"received, received, folds",5d 6c 3d,,As,,Ad,,0.0,scootie
8,10.35,Kd Js,"received, received, folds, does",,,,,,folded,0.0,solasso
5,20.5,2d Ks,"received, received, folds, does",,,,,,folded,0.0,Ice
6,7.5,2h 9h,"received, received, folds",Qc 8d 7s,,Kd,,,,0.0,ISULDURR
5,24.04,6s Ks,"received, received, raises",2s 10h 6d,checks,Kh,"bets, mucks, mucks",,,2.55,IlxxxlI
6,5.0,7d,"has, received, received, checks",3c Ad Jc,checks,Ac,checks,9c,"checks, folds, folded",-0.25,bclever
5,20.5,8c Ad,"received, received, folds, does",,,,,,folded,0.0,Ice
5,5.0,Kh Kd,"has, received, received, raises",8s 6c Qc,"bets, mucks, mucks",,,,,1.39,IlxxxlI
5,40.11,9d Qs,"received, received, folds",7d 5s 9c,,,,,,0.0,Ice
8,10.35,4h 6c,"received, received, folds",7c 9c 8d,,,,,,0.0,xx10jqkaxx
6,38.89,Ah 2s,"received, received, folds",6d 10h 5s,,,,,,0.0,scootie
5,24.54,3d 2h,"has, received, received, folds, does",,,,,,folded,-0.5,Gargantuatua
6,5.0,Kc,"has, received, received, allin, mucks, mucks",,,,,,,2.5,IlxxxlI
5,21.0,8s Kd,"has, received, received, folds, does",,,,,,folded,-0.5,Ice
6,5.44,Ah Ad,"received, received, raises",7c 9s Jc,"bets, allin",6c,,Ks,,-5.44,bclever
5,40.11,Ad 8s,"received, received, folds, does",,,,,,folded,0.0,Gargantuatua
4,89.03,9c,"received, received, folds",3d 2s 2c,,,,Qd,,0.0,Open_Seat
6,41.39,5d 6d,"received, received, raises",Jc Qh 9c,"folds, does",,,,folded,-2.5,AironVega
6,5.0,5d Qs,"has, received, received, folds",4h Kc Kh,,6c,,,,-0.25,Flushdogg
5,40.11,Js 5h,"received, received, folds",5c 6c 10h,,,,,,0.0,l3ae
5,27.54,9d 8s,"has, received, received, calls",5c Jc 3c,"bets, folds, does",,,,folded,-3.0,gust
5,5.0,6h Ad,"received, received, folds",3h 10c Jc,,4c,,8h,,0.0,CodyCap
4,95.46,Qs Js,"has, received, received, raises",2h Kc 5h,bets,8d,checks,,"checks, mucks",-6.43,Open_Seat
5,5.44,2h 2c,"received, received, folds",8s 5h Qd,,,,,,0.0,bclever
6,5.0,9c 4s,"received, received, folds",5c Qd 7h,,,,,,0.0,ISULDURR
5,23.0,8c,"has, received, received, calls",4c 2c Qc,"checks, folds, does",,,,folded,-2.0,Portly23
5,40.11,Qc 7d,"received, received, folds, does",,,,,,folded,0.0,Ice
5,27.54,5d As,"received, received, folds, does",,,,,,folded,0.0,gust
5,5.09,Ks,"received, received, raises, mucks, mucks",,,,,,,0.35,IlxxxlI
6,41.39,5c Qd,"received, received, folds",6d 2c 4h,,,,,,0.0,AironVega
8,10.35,8d 7s,"received, received, folds",9d 9h 2d,,2h,,,,0.0,DarkKnight247
5,23.0,Jc 9h,"received, received, folds, does",,,,,,folded,0.0,Portly23
4,97.46,Kc 9d,"has, received, received, calls",10h 6s 3h,"checks, folds, does",,,,folded,-2.0,FirstClan
5,5.09,2s Jh,"received, received, folds, does",,,,,,folded,0.0,Parcker
5,5.27,Ad 5s,"received, received, raises",9c 8h 4s,checks,Qh,checks,6h,"checks, mucks",-0.62,CodyCap
5,97.46,6d,"received, received, folds, does",,,,,,folded,0.0,Ice
5,41.11,3h,"has, received, received, calls, folds, does",,,,,,folded,-1.0,l3ae
5,5.19,Jh 8s,"has, received, received, folds, does",,,,,,folded,-0.1,Parcker
8,10.0,Ks,"received, received, raises, mucks, mucks",,,,,,,0.35,IlxxxlI
5,23.0,5c,"received, received, folds, does",,,,,,folded,0.0,Ice
6,41.89,6s Ac,"has, received, received, folds, does",,,,,,folded,-0.5,Pimpika
6,5.0,3s Qs,"received, received, folds",Qc 9s Ks,,Qh,,5c,,0.0,Flushdogg
5,24.34,8s Js,"received, received, raises",10h 6s 8d,checks,3d,"bets, mucks, mucks",,,3.2,IlxxxlI
6,5.27,8s 2d,"received, received, folds",8d Jd 9h,,,,,,0.0,Parcker
5,93.96,Kd Ac,"received, received, caps, mucks, mucks",,,,,,,3.5,IlxxxlI
5,24.34,7d Ks,"received, received, folds, does",,,,,,folded,0.0,Portly23
5,21.5,Ah Qh,"received, received, raises, mucks, mucks",,,,,,,1.5,IlxxxlI
7,10.0,5d 9c,"received, received, folds",7h Ks Jd,,,,,,0.0,solasso
5,24.84,9d 2h,"has, received, received, folds, does",,,,,,folded,-0.5,gust
5,21.5,2d,"received, received, folds, does",,,,,,folded,0.0,Ice
5,42.11,5d,"has, received, received, folds",2h Ac Jc,,Qd,,,,-1.0,winnipuh
5,96.26,As,"received, received, raises, folds, does",,,,,,folded,-2.3,Ice
6,5.0,4s 5d,"received, received, folds",Qh 7d 5s,,,,Qd,,0.0,ISULDURR
4,22.0,3d 5c,"has, received, received, folds, does",,,,,,folded,-0.5,Ice
5,7.02,5s 6d,"has, received, received, calls",Qs 4h 3c,calls,5h,"folds, does",,folded,-1.83,Parcker
6,42.89,5h 7s,"has, received, received, folds",8h 8c 7c,,4h,,9s,,-1.0,Pimpika
5,42.11,Kd Jc,"received, received, folds",Qc 5d 8s,,,,,,0.0,winnipuh
7,10.0,9c 8c,"has, received, received, calls",Kh 6c 5d,"checks, folds, does",,,,folded,-0.25,xx10jqkaxx
6,5.37,5h 2s,"has, received, received, folds",Ah 5c Jd,,,,6d,,-0.1,Jolly2chew
4,23.0,6d,"has, received, received, folds, does",,,,,,folded,-1.0,Portly23
5,20.0,4h 7h,"has, received, received, calls",7d 3h Jd,"checks, calls",Kc,checks,Js,checks,4.84,IlxxxlI
6,10.15,Qs 3c,"has, received, received, folds, does",,,,,,folded,-0.25,joeyzzz
5,7.02,2s,"received, received, folds, does",,,,,,folded,0.0,FirstClan
6,5.0,Jd Kh,"received, received, folds",5h Ad Qs,,9s,,,,0.0,GIGANTORR
6,5.62,Ac 3d,"has, received, received, folds",As 9c Kh,,,,,,-0.25,Jolly2chew
5,96.76,Js 7c,"has, received, received, folds",5s Qd 7h,,2d,,2c,,-0.5,FirstClan
4,23.0,9s 6c,"received, received, folds, does",,,,,,folded,0.0,gust
6,42.89,3c 4s,"received, received, folds",5s 6s Ks,,,,,,0.0,gust
5,42.11,Kc,"received, received, folds",Ah 9c 4h,,8c,,,,0.0,winnipuh
5,5.0,Kh,"received, received, raises",2s Jc 4h,checks,4c,bets,,checks,2.02,IlxxxlI
5,97.76,4d 2d,"has, received, received, folds, does",,,,,,folded,-1.0,Ice
5,5.0,5s Kc,"received, received, folds, does",,,,,,folded,0.0,FirstClan
6,10.15,Kc 5s,"received, received, folds",Qh Ac 4h,,,,,,0.0,joeyzzz
4,21.5,Qc Jc,"received, received, raises, mucks, mucks",,,,,,,1.5,IlxxxlI
