num_players,player_stack,blind,player_cards,pre_flop,flop,decision_flop,turn,decision_turn,river,decision_river,net_result
9,43.0,0,Jc 10h,"received, received, folds",,,,,,,0.0
6,86.55,0,Kd 2s,"received, received, folds",,,,,,,0.0
6,80.0,0,9s 6d,"received, received, folds",10c Js Ah,,7c,,3d,,0.0
6,88.33,0,6s 5h,"received, received, folds",Qs 7d 4c,,9c,,,,0.0
6,58.55,0,Jc As,"received, received, raises, mucks",,,,,,,1.5
9,40.0,0,10c Jd,"received, received, raises, mucks",,,,,,,3.0
9,40.5,1,Qd 3h,"received, received, folds",9c 9d 7s,,,,,,-0.5
6,80.0,0,10h 3d,"received, received, folds",,,,,,,0.0
5,80.0,0,Qc 2s,"received, received, folds",,,,,,,0.0
6,86.83,0,3c Ac,"received, received, raises, mucks",,,,,,,1.5
9,41.5,2,Qs 7h,"received, received, folds",,,,,,,-1.0
6,86.55,0,9s 8h,"received, received, folds",,,,,,,0.0
5,80.0,0,7s Jh,"received, received, folds",,,,,,,0.0
5,83.55,0,5d 5s,"received, received, raises, mucks",,,,,,,3.0
6,86.83,0,2d 7d,"received, received, folds",,,,,,,0.0
6,80.0,1,Ad Kh,"received, received, raises",4s 6d 6s,"checks, calls",,"checks, folds",,,-16.55
5,84.55,1,8d Js,"received, received, folds",,,,,,,-1.0
9,40.0,1,5h Kh,"received, received, folds",3s 6c 6s,,Jd,,,,-1.0
9,41.5,0,3s Ks,"received, received, folds",,,,,,,0.0
6,58.55,0,5d 2s,"received, received, folds",Ad 8d Ac,,Kh,,,,0.0
6,80.0,2,Jh 2s,"received, received, folds",,,,,,,-2.0
8,41.5,0,4s Kd,"received, received, folds",,,,,,,0.0
6,87.33,1,3h Kd,"received, received, folds",,,,,,,-0.5
5,80.0,0,2h Kc,"received, received, folds",2d Qc 6s,,9c,,2c,,0.0
5,80.0,2,Kc 3c,"received, received, calls",Kd Jh 7s,checks,Qd,"bets, mucks",,,4.55
8,41.5,0,9d 2h,"received, received, folds",,,,,,,0.0
5,80.0,1,10c 7s,"received, received, folds",,,,,,,-1.0
9,40.0,2,4c 5h,"received, received, calls",Ks 7s Qd,checks,5s,"checks, folds",,,-4.0
6,70.68,2,Qs Ac,"received, received, calls",2s 4d Qd,"bets, mucks",,,,,16.65
4,30.25,0,2h 2d,"received, received, calls, calls",7s 6s 10c,checks,Qd,folds,,,-2.0
